# All infantry equipment

equipments = {
	Umbaran_blaster_rifle_0 = {
		year = 970
	
		can_be_produced = {
			tag = UMB	
		}

		archetype = infantry_equipment
		priority = 05
		visual_level = 0
		
		#Misc Abilities
		maximum_speed = 4
		reliability = 0.95

		#Defensive Abilities
		defense = 20
		breakthrough = 20
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 15
		hard_attack = 10
		ap_attack = 0
		air_attack = 0

		build_cost_ic = 0.60
	}

	milicreep_droid_arch = {
		year = 976
	
		can_be_produced = {
			tag = UMB
		}

		is_archetype = yes
		is_buildable = no

		priority = 10
		visual_level = 1

		#Misc Abilities
		maximum_speed = 6
		reliability = 0.95

		#Defensive Abilities
		defense = 0
		breakthrough = 30
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 30
		hard_attack = 5
		ap_attack = 0
		air_attack = 0

		build_cost_ic = 0.65
	}

	milicreep_droids = {
		year = 976
	
		can_be_produced = {
			tag = UMB	
		}

		archetype = milicreep_droid_arch
		priority = 10
		visual_level = 1
	}
	
	hover_tank_umb_arch = {
		year = 976

		is_archetype = yes
		is_buildable = no
		type = armor
		group_by = archetype
		
		interface_category = interface_category_land
		
		#Misc Abilities
		maximum_speed = 6
		reliability = 0.95

		#Defensive Abilities
		defense = 35
		breakthrough = 40
		hardness = 1.0
		armor_value = 6

		#Offensive Abilities
		soft_attack = 30
		hard_attack = 35
		ap_attack = 5
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 14
		resources = {
			steel = 2
		}
	}

	hover_tank_umb = {
		year = 976
	
		can_be_produced = {
			tag = UMB	
		}

		type = armor
		group_by = archetype
		archetype = hover_tank_umb_arch
		interface_category = interface_category_land
	}

	impeding_assault_tank_arch = {
		year = 976
		is_buildable = no
		is_archetype = yes
		type = armor
		group_by = archetype
		
		interface_category = interface_category_land
		
		#Misc Abilities
		maximum_speed = 6
		reliability = 0.95

		#Defensive Abilities
		defense = 45
		breakthrough = 45
		hardness = 1.0
		armor_value = 5

		#Offensive Abilities
		soft_attack = 50
		hard_attack = 10
		ap_attack = 3
		air_attack = 2

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 18
		resources = {
			steel = 2
		}
	}

	impeding_assault_tank = {
		year = 976
	
		can_be_produced = {
			tag = UMB	
		}

		type = armor
		group_by = archetype
		archetype = impeding_assault_tank_arch
		maximum_speed = 12
		
		interface_category = interface_category_land
	}

	mobile_heavy_cannon_arch = {
		year = 978

		is_buildable = no
		is_archetype = yes
		type = armor
		group_by = archetype
		
		interface_category = interface_category_land
		
		#Misc Abilities
		maximum_speed = 4
		reliability = 0.95

		#Defensive Abilities
		defense = 20
		breakthrough = 20
		hardness = 1.0
		armor_value = 5

		#Offensive Abilities
		soft_attack = 35
		hard_attack = 30
		ap_attack = 3
		air_attack = 2

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 25
		resources = {
			steel = 2
		}
	}

	mobile_heavy_cannon = {
		year = 978
	
		can_be_produced = {
			tag = UMB	
		}

		type = armor
		group_by = archetype
		archetype = mobile_heavy_cannon_arch
		
		interface_category = interface_category_land
	}

	umb_plane_arch = {
		year = 976
		type = { fighter interceptor }

		is_archetype = yes
		is_buildable = no
		carrier_capable = yes
		active = no
		priority = 30
		
		air_range = 8600
		maximum_speed =	1180
		air_agility = 60
		air_attack = 26
		air_defence = 15
		air_bombing = 30 

		build_cost_ic = 28.9 # cv_version costs 20% more of base archetype
		resources = {
			#oil = 2
			aluminium = 2
		}
		naval_strike_attack = 20
		naval_strike_targetting = 10
	}

	umb_plane = {
		year = 976
		type = { fighter interceptor }

		archetype = umb_plane_arch
		carrier_capable = yes
		active = no
		priority = 30
		
		air_range = 8600
		maximum_speed =	1180
		air_agility = 60
		air_attack = 26
		air_defence = 15
		air_bombing = 30
		air_ground_attack = 1.0

		build_cost_ic = 28.9 # cv_version costs 20% more of base archetype
		resources = {
			#oil = 2
			aluminium = 2
		}
		naval_strike_attack = 20
		naval_strike_targetting = 10
	}
}
